Node	mae	mase	hits
CAL_CALGT1	0.092808+/-0.001495	0.669712+/-0.010788	0.126677+/-0.002670
KING_KINGNW	0.078394+/-0.000956	0.649783+/-0.007927	0.100989+/-0.002823
MAR_MARSFOG1	0.091985+/-0.001505	0.673937+/-0.011029	0.123431+/-0.003748
CALAVER_JKS1	0.082951+/-0.001277	0.610979+/-0.009405	0.121914+/-0.002232
RAYB_G78910	0.084273+/-0.001237	0.612079+/-0.008983	0.123774+/-0.002494
WOO_WOODWRD1	0.078262+/-0.000903	0.648997+/-0.007492	0.101279+/-0.001608
DECKER_DPG2	0.085668+/-0.001256	0.622790+/-0.009130	0.123764+/-0.003070
CEL_CELANEG1	0.094970+/-0.002076	0.705978+/-0.015433	0.117243+/-0.004430
FO_FORMOSG3	0.083790+/-0.001103	0.610636+/-0.008037	0.123653+/-0.003449
NUE_NUECESG7	0.062715+/-0.000974	0.602055+/-0.009348	0.093962+/-0.001667
