zone,year,MAE,MAPE,TheilU1,epochs
LZ_NORTH,2011,20.633963,32.168137,0.369665,2000
LZ_SOUTH,2011,22.536036,38.635963,0.342436,3750
LZ_WEST,2011,24.585976,inf,0.411950,3500
LZ_HOUSTON,2011,21.200991,32.866276,0.381497,2750
LZ_NORTH,2012,9.386085,32.496483,0.305436,3000
LZ_SOUTH,2012,7.770273,21.331625,0.316476,3750
LZ_WEST,2012,17.573229,160.689392,0.340180,3750
LZ_HOUSTON,2012,7.354128,21.365404,0.310077,3750
LZ_NORTH,2013,4.810755,11.021754,0.265895,3750
LZ_SOUTH,2013,5.077543,12.882256,0.244640,3750
LZ_WEST,2013,10.300181,28.836782,0.255999,3750
LZ_HOUSTON,2013,4.875315,11.196403,0.253796,3750
LZ_NORTH,2014,13.467600,33.467270,0.303490,3750
LZ_SOUTH,2014,10.468022,21.230721,0.311705,2000
LZ_WEST,2014,11.996299,23.249897,0.303167,2000
LZ_HOUSTON,2014,9.279787,19.990921,0.295184,2000
LZ_NORTH,2015,8.132804,30.031612,0.341488,3750
LZ_SOUTH,2015,7.652822,22.363230,0.351456,3750
LZ_WEST,2015,7.667239,27.965385,0.285838,2250
LZ_HOUSTON,2015,8.543195,31.120678,0.336179,3750
